Cluster,Gene,log2FC,Percentage (%),Adjusted p-value
14,AGR2,3.64,99.6,0
14,EPCAM,2.81,100,0
14,GPX2,2.64,97.8,0
14,TSPAN8,2.38,99.6,0
14,KRT19,2.33,99.6,0
14,CEACAM6,2.32,94.8,0
14,LGALS4,2.25,97.8,0
14,S100A16,2.18,97,0
14,LCN2,2.06,71.7,0
14,CLDN3,2.04,96.7,0
14,CLDN7,1.92,98.1,0
14,TM4SF1,1.63,95.2,0
14,TFF3,1.59,92.2,0
14,MDK,1.56,92.6,0
14,PRSS3,1.55,96.7,0
14,RNASE4,1.44,86.6,0
14,PHLDA2,1.44,96.3,0
14,AGR3,1.44,83.6,0
14,RAB25,1.35,95.5,0
14,KLF5,1.34,96.7,0
14,EFNA1,1.33,91.1,0
14,S100A14,1.28,87,0
14,TSPAN1,1.25,81.8,0
14,ANXA10,1.22,42,0
14,FAM3D,1.2,74.7,0
14,S100P,1.19,98.1,0
14,ANXA3,1.18,81.8,0
14,KRT7,1.16,55.4,0
14,TCN1,1.15,33.8,0
14,AZGP1,1.15,72.1,0
14,SLC44A4,1.13,95.5,0
14,CCND1,1.06,96.3,0
14,KRTCAP3,1.05,90.3,0
14,MUC13,1.02,95.5,0
14,TFF1,1.01,63.9,0
14,EHF,0.99,92.9,0
14,GGH,0.98,86.6,0
14,TNFRSF12A,0.96,80.7,0
14,PRR15L,0.92,85.5,0
14,SLPI,0.9,62.8,0
14,TSPAN13,0.88,93.3,0
14,SPINT1,0.87,96.7,0
14,CLRN3,0.86,78.8,0
14,MAL2,0.85,95.5,0
14,LAD1,0.85,94.4,0
14,EPS8L3,0.85,85.9,0
14,PPP1R1B,0.83,87,0
14,PDZK1IP1,0.8,67.3,0
14,RND3,0.78,85.5,0
14,PHGR1,0.75,68.4,0
14,CKMT1A,0.74,71,0
14,USH1C,0.72,90.3,0
14,NOX1,0.72,71.4,0
14,TACSTD2,0.72,61.7,0
14,JUP,0.68,96.7,0
14,SPR,0.68,79.6,0
14,CALML4,0.68,88.8,0
14,DDR1,0.67,96.3,0
