Malignant Cell,Cluster
N_T_P0104_00080,14
N_T_P0104_00155,14
N_T_P0104_00157,14
N_T_P0104_00161,14
N_T_P0104_00163,14
N_T_P0104_00165,14
N_T_P0104_00166,14
N_T_P0104_00167,14
N_T_P0104_00169,14
N_T_P0104_00184,14
N_T_P0411_02770,14
N_T_P0411_02772,14
N_T_P0411_02773,14
N_T_P0411_02775,14
N_T_P0411_02777,14
N_T_P0411_02778,14
N_T_P0411_02779,14
N_T_P0411_02780,14
N_T_P0411_02781,14
N_T_P0411_02782,14
N_T_P0411_02784,14
N_T_P0411_02785,14
N_T_P0411_02788,14
N_T_P0411_02790,14
N_T_P0411_02791,14
N_T_P0411_02792,14
N_T_P0411_02794,14
N_T_P0411_02796,14
N_T_P0411_02797,14
N_T_P0411_02799,14
N_T_P0411_02800,14
N_T_P0411_02801,14
N_T_P0411_02802,14
N_T_P0411_02804,14
N_T_P0411_02805,14
N_T_P0411_02807,14
N_T_P0411_02809,14
N_T_P0411_02813,14
N_T_P0411_02814,14
N_T_P0411_02815,14
N_T_P0411_02818,14
N_T_P0411_02822,14
N_T_P0411_02824,14
N_T_P0411_02826,14
N_T_P0411_02827,14
N_T_P0411_02830,14
N_T_P0411_02832,14
N_T_P0411_02834,14
N_T_P0411_02838,14
N_T_P0411_02839,14
N_T_P0411_02840,14
N_T_P0411_02841,14
N_T_P0411_02845,14
N_T_P0411_02846,14
N_T_P0411_02847,14
N_T_P0411_02848,14
N_T_P0411_02849,14
N_T_P0411_02850,14
N_T_P0411_02853,14
N_T_P0411_02855,14
N_T_P0411_02859,14
N_T_P0411_02860,14
N_T_P0411_02861,14
N_T_P0411_02862,14
N_T_P0411_02863,14
N_T_P0411_02866,14
N_T_P0411_02867,14
N_T_P0411_02868,14
N_T_P0411_02869,14
N_T_P0411_02870,14
N_T_P0413_04199,14
N_T_P0413_04200,14
N_T_P0413_04206,14
N_T_P0413_04207,14
N_T_P0413_04209,14
N_T_P0413_04210,14
N_T_P0413_04212,14
N_T_P0413_04216,14
N_T_P0413_04217,14
N_T_P0413_04218,14
N_T_P0413_04220,14
N_T_P0413_04224,14
N_T_P0413_04225,14
N_T_P0413_04228,14
N_T_P0413_04230,14
N_T_P0413_04234,14
N_T_P0413_04235,14
N_T_P0413_04237,14
N_T_P0413_04239,14
N_T_P0413_04241,14
N_T_P0413_04243,14
N_T_P0413_04248,14
N_T_P0413_04250,14
N_T_P0413_04251,14
N_T_P0413_04255,14
N_T_P0413_04257,14
N_T_P0413_04258,14
N_T_P0413_04264,14
N_T_P0413_04265,14
N_T_P0413_04267,14
N_T_P0413_04268,14
N_T_P0413_04273,14
N_T_P0413_04276,14
N_T_P0413_04278,14
N_T_P0413_04279,14
N_T_P0413_04282,14
N_T_P0413_04285,14
N_T_P0413_04286,14
N_T_P0413_04288,14
N_T_P0413_04289,14
N_T_P0413_04290,14
N_T_P0413_04291,14
N_T_P0413_04292,14
N_T_P0413_04293,14
N_T_P0413_04294,14
N_T_P0413_04297,14
N_T_P0413_04299,14
N_T_P0413_04301,14
N_T_P0413_04304,14
N_T_P0413_04308,14
N_T_P0413_04311,14
N_T_P0413_04313,14
N_T_P0413_04314,14
N_N_P0720_04467,14
N_T_P0720_04596,14
N_T_P0720_04608,14
N_T_P0720_04625,14
N_T_P0720_04650,14
N_T_P0720_04653,14
N_T_P0720_04661,14
N_T_P0720_04663,14
N_T_P0720_04722,14
N_T_P0720_04741,14
N_T_P0720_04795,14
N_T_P0720_04805,14
N_T_P0720_04810,14
N_T_P0720_04826,14
N_T_P0728_05625,14
N_T_P0728_05626,14
N_T_P0728_05627,14
N_T_P0728_05630,14
N_T_P0728_05631,14
N_T_P0728_05633,14
N_T_P0728_05634,14
N_T_P0728_05638,14
N_T_P0728_05640,14
N_T_P0728_05642,14
N_N_P0825_06121,14
N_N_P0825_06167,14
N_T_P0825_07753,14
N_T_P0825_07757,14
N_T_P0825_07758,14
N_T_P0825_07768,14
N_T_P0825_07770,14
N_T_P0825_07775,14
N_T_P0825_07780,14
N_T_P0825_07784,14
N_T_P0825_07793,14
N_T_P0825_07794,14
N_T_P0825_07802,14
N_T_P0825_07809,14
N_T_P0825_07816,14
N_T_P0825_07826,14
N_T_P0825_07833,14
N_T_P0825_07834,14
N_T_P0825_07840,14
N_T_P0825_07842,14
N_T_P0825_07846,14
N_T_P0825_07851,14
N_T_P0825_07862,14
N_T_P0825_07863,14
N_T_P0825_07873,14
N_T_P0825_07875,14
N_T_P0825_07877,14
N_T_P0825_07899,14
N_T_P0825_07904,14
N_T_P0825_07909,14
N_T_P0825_07910,14
N_T_P0825_07913,14
N_T_P0825_07917,14
N_T_P0825_07923,14
N_T_P0825_07924,14
N_T_P0825_07928,14
N_T_P0825_07941,14
N_T_P0825_07963,14
N_T_P0825_07969,14
N_T_P0825_07973,14
N_T_P1212_09452,14
N_T_P1212_09454,14
N_T_P1212_09455,14
N_T_P1212_09456,14
N_T_P1212_09462,14
N_T_P1212_09463,14
N_T_P1212_09464,14
N_T_P1212_09466,14
N_T_P1212_09468,14
N_T_P1212_09469,14
N_T_P1212_09470,14
N_T_P1212_09472,14
N_T_P1212_09473,14
N_T_P1212_09474,14
N_T_P1212_09476,14
N_T_P1212_09478,14
N_T_P1212_09479,14
N_T_P1212_09481,14
N_T_P1212_09482,14
N_T_P1212_09484,14
N_T_P1212_09485,14
N_T_P1212_09486,14
N_T_P1212_09488,14
N_T_P1212_09489,14
N_T_P1212_09490,14
N_T_P1212_09491,14
N_T_P1212_09492,14
N_T_P1212_09493,14
N_T_P1212_09494,14
N_T_P1212_09495,14
N_T_P1212_09497,14
N_T_P1212_09498,14
N_T_P1212_09500,14
N_T_P1212_09501,14
N_T_P1212_09502,14
N_T_P1212_09503,14
N_T_P1212_09504,14
N_T_P1212_09506,14
N_T_P1212_09507,14
N_T_P1212_09508,14
N_T_P1212_09509,14
N_T_P1212_09510,14
N_T_P1212_09511,14
N_T_P1212_09512,14
