Cluster,Gene,log2FC,Percentage (%),Adjusted p-value
6,REG4,2.91,89.1,0
6,S100P,2.52,97.8,0
6,AGR2,2.47,97.3,0
6,KRT8,2.35,99.2,0
6,KRT18,2.33,98.7,0
6,KRT19,1.93,96.8,0
6,EPCAM,1.9,93.8,0
6,IFI27,1.88,98.9,0
6,TSPAN8,1.8,94.8,0
6,IFI6,1.78,87.4,0
6,TXN,1.76,98,0
6,S100A6,1.76,100,0
6,FXYD3,1.7,96.6,0
6,SLPI,1.66,85.7,0
6,NQO1,1.61,89.3,0
6,CLDN7,1.59,86,0
6,ANXA2,1.5,98,0
6,PERP,1.48,88.7,0
6,LGALS3,1.44,97.4,0
6,S100A14,1.44,88.4,0
6,PI3,1.44,59.8,0
6,C19orf33,1.43,93.3,0
6,ISG15,1.43,84.9,0
6,SPINT2,1.43,90.5,0
6,LGALS4,1.42,95.8,0
6,PRSS3,1.42,83.7,0
6,CTSE,1.42,72,0
6,CYSTM1,1.41,89.6,0
6,S100A10,1.37,99.4,0
6,S100A16,1.36,86.9,0
6,CLDN4,1.35,76.1,0
6,ZG16B,1.34,76.1,0
6,CLDN3,1.33,78.4,0
6,GPX2,1.33,86.7,0
6,MDK,1.32,86.5,0
6,SMIM24,1.29,71.4,0
6,AGPAT2,1.26,81.9,0
6,MUC13,1.25,75.4,0
6,MAL2,1.25,78.8,0
6,ASS1,1.24,77.9,0
6,LMO7,1.24,73.6,0
6,SMIM22,1.22,89,0
6,PRAP1,1.22,76.7,0
6,SFN,1.2,74.2,0
6,LCN2,1.2,81.8,0
6,TSPAN3,1.18,81.3,0
6,GSTP1,1.16,98.5,0
6,TM4SF5,1.15,69.7,0
6,TFF1,1.15,75.7,0
6,TSPAN1,1.13,76.2,0
6,PHLDA2,1.13,78,0
6,TMEM45B,1.12,73.7,0
6,ANXA3,1.1,72.6,0
6,PIGR,1.1,83,0
6,MUC1,1.08,70,0
6,PHGR1,1.07,97.3,0
6,AGR3,1.07,71.7,0
6,MSLN,1.06,69.9,0
6,CDH17,1.03,74.9,0
6,TFF3,1.03,93.9,0
6,TACSTD2,1.02,59.2,0
6,ANXA10,1.02,56.7,0
6,SAP18,1.02,91.5,0
6,LGALS2,1.01,59.7,0
6,S100A11,1.01,98.7,0
6,GPRC5A,0.99,69.4,0
6,ATPIF1,0.99,92.9,0
