Cluster,Gene,log2FC,Percentage (%),Adjusted p-value
11,LCN2,2.09,80.9,0
11,PI3,2.01,35.4,0
11,MMP7,1.96,32.1,0
11,PERP,1.65,95,0
11,DUOXA2,1.52,21.7,0
11,CEACAM6,1.51,84.8,0
11,S100A11,1.44,98,0
11,S100P,1.44,91,0
11,SCD,1.39,63.5,0
11,PMEPA1,1.36,77.7,0
11,SLPI,1.35,63.7,0
11,GPX2,1.32,89,0
11,PCCA,1.22,54.5,0
11,TM4SF1,1.2,63.3,0
11,KLK10,1.18,38,0
11,DUOX2,1.16,31,0
11,GPRC5A,1.16,87.6,0
11,ANXA2,1.14,96.1,0
11,FOXQ1,1.12,60.2,0
11,TACSTD2,1.12,32.4,0
11,CD24,1.1,89.2,0
11,TFF1,1.08,52.2,0
11,PHLDA2,1.07,82.4,0
11,GDF15,1.06,64.9,0
11,S100A16,1.04,84,0
11,ATP1B1,1.03,94.2,0
11,ABHD2,1.03,71.8,0
11,SOX9,1.02,82,0
11,TGFBI,1.02,64.5,0
11,EFNA1,1.02,71,0
11,LMO7,1.02,83.3,0
11,LAMC2,1.01,47.2,0
11,SLC2A1,0.99,55.2,0
11,LCN15,0.99,19.8,0
11,PPA1,0.98,88.9,0
11,KRT17,0.98,18.8,0
11,SLC12A2,0.97,83,0
11,CCND1,0.96,74.4,0
11,LAMB3,0.96,73.5,0
11,GSTP1,0.96,97.3,0
11,KRT18,0.95,99.2,0
11,SLC7A11,0.95,35.2,0
11,FERMT1,0.95,76.8,0
11,LYZ,0.94,58.3,0
11,DPEP1,0.94,53.8,0
11,ITGA2,0.93,65.8,0
11,PDZK1IP1,0.92,59,0
11,PKM,0.91,92.9,0
11,TSPAN8,0.9,94,0
11,CD9,0.9,93.1,0
11,CD46,0.89,89.9,0
11,HMGA1,0.89,85,0
11,DSP,0.88,92.2,0
11,BACE2,0.88,73,0
11,CXCL1,0.87,32,0
11,EPCAM,0.86,95.7,0
11,S100A6,0.85,99.8,0
11,MET,0.84,66.2,0
11,ERO1A,0.83,71.8,0
11,ANXA4,0.83,85.2,0
11,MACC1,0.83,67.3,0
11,TFF2,0.82,17.3,0
11,KLF5,0.82,90.7,0
11,ANXA3,0.81,63.2,0
11,ITGA6,0.81,84.1,0
11,PON2,0.78,73.4,0
11,TESC,0.78,47.5,0
11,RAB25,0.78,77.8,0
11,CCL20,0.78,41.4,0
11,S100A14,0.77,86.2,0
11,CSTB,0.77,93.7,0
11,SDC4,0.77,76,0
11,MAL2,0.76,79.5,0
11,TRIM29,0.76,47.2,0
11,SOX4,0.75,90.6,0
11,TXN,0.75,95,0
11,SERPINB5,0.75,47,0
11,IFITM3,0.75,80.2,0
11,VDAC1,0.74,86.2,0
11,SERPINB1,0.74,82.4,0
11,MSLN,0.73,39,0
11,AQP5,0.73,17.5,0
11,S100A10,0.73,98.7,0
11,DSG2,0.73,85.4,0
11,NORAD,0.73,86.8,0
11,POMP,0.73,86.5,0
11,TINAGL1,0.73,69.7,0
11,MYO6,0.72,81.7,0
11,JUP,0.72,82.3,0
11,ASCL2,0.72,44.8,0
11,ENC1,0.71,63.7,0
11,RPL7,0.71,95.5,0
11,RNF43,0.71,56.7,0
11,GAPDH,0.7,98.9,0
11,KRT23,0.7,27.9,0
11,DNAJC15,0.7,77.9,0
11,PTBP3,0.69,86.9,0
11,DDR1,0.69,76.2,0
11,ZKSCAN1,0.68,82.3,0
11,TNFRSF12A,0.68,50,0
11,NCOA7,0.68,59.5,0
11,ZFAS1,0.68,82.9,0
11,ELF3,0.68,96.9,0
11,HEBP2,0.68,83.1,0
11,LAMA3,0.67,48,0
11,PRDX5,0.67,89.3,0
11,GGH,0.67,48.3,0
11,SPTBN1,0.67,90.5,0
11,PLPP2,0.66,69.7,0
11,MYC,0.66,55.2,0
11,CANX,0.66,85.8,0
11,EIF2S2,0.66,84.8,0
11,ASS1,0.65,66.6,0
11,CEMIP,0.65,36.5,0
11,SERPINB6,0.65,80.5,0
11,CXCL3,0.65,44.3,0
11,FHL2,0.64,63.5,0
11,RAC1,0.64,93.2,0
11,S100A13,0.64,68.9,0
11,VEGFA,0.64,82.4,0
11,DSTN,0.64,93.2,0
11,TRIM2,0.64,73.1,0
11,PRSS22,0.64,38.5,0
11,EFNB2,0.63,71.6,0
11,TKT,0.63,77.6,0
11,LAMP1,0.63,83.9,0
11,ANXA11,0.63,86.8,0
11,SPRY2,0.62,55.5,0
